from,coord,to,coord,distance_in_miles
The Disney Gallery,"(33.8101946, -117.9184302)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.1872882448357107
The Disney Gallery,"(33.8101946, -117.9184302)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.15766778970394657
The Disney Gallery,"(33.8101946, -117.9184302)",Disneyland Monorail,"(33.812807, -117.9166715)",0.20653362890155866
The Disney Gallery,"(33.8101946, -117.9184302)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.19548260946366044
The Disney Gallery,"(33.8101946, -117.9184302)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.698522690324
The Disney Gallery,"(33.8101946, -117.9184302)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.38527388501089294
The Disney Gallery,"(33.8101946, -117.9184302)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.39311332543027816
Main Street Vehicles,"(48.8711858, 2.7782974)",Disneyland Railroad,"(48.872951, 2.7809789)",0.17268147517925583
Main Street Vehicles,"(48.8711858, 2.7782974)",Main Street Cinema,"(28.4172281, -81.5810162)",4531.908344814392
Main Street Vehicles,"(48.8711858, 2.7782974)",Jungle Cruise,"(28.41794735, -81.58349665864117)",4531.982728865853
Main Street Vehicles,"(48.8711858, 2.7782974)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",4532.052730433618
Main Street Vehicles,"(48.8711858, 2.7782974)",Disneyland Railroad,"(48.872951, 2.7809789)",0.17268147517925583
Main Street Vehicles,"(48.8711858, 2.7782974)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",4531.749686558905
Main Street Vehicles,"(48.8711858, 2.7782974)",Splash Mountain,"(28.4192429, -81.58504252640626)",4531.988600895256
Main Street Vehicles,"(48.8711858, 2.7782974)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",0.21760278217149956
Main Street Vehicles,"(48.8711858, 2.7782974)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",0.2577591185594572
Main Street Vehicles,"(48.8711858, 2.7782974)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",0.16433139317753917
Main Street Vehicles,"(48.8711858, 2.7782974)",Autopia,"(48.8732257, 2.7789328)",0.1439039693629913
Main Street Vehicles,"(48.8711858, 2.7782974)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",0.2836718997595538
Main Street Vehicles,"(48.8711858, 2.7782974)",Space Mountain,"(48.87407195, 2.779286235777686)",0.2044658808225752
Main Street Vehicles,"(48.8711858, 2.7782974)",Disneyland Railroad,"(48.872951, 2.7809789)",0.17268147517925583
Main Street Vehicles,"(48.8711858, 2.7782974)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4533.850477625523
Main Street Cinema,"(28.4172281, -81.5810162)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",2174.360383591421
Main Street Cinema,"(28.4172281, -81.5810162)",Disneyland Railroad,"(48.872951, 2.7809789)",4531.992519106888
Main Street Cinema,"(28.4172281, -81.5810162)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",2174.2027749116473
Main Street Cinema,"(28.4172281, -81.5810162)",The Disney Gallery,"(33.8101946, -117.9184302)",2174.208106955366
Main Street Cinema,"(28.4172281, -81.5810162)",Main Street Vehicles,"(48.8711858, 2.7782974)",4531.908344814392
Main Street Cinema,"(28.4172281, -81.5810162)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",2174.2743930210545
Main Street Cinema,"(28.4172281, -81.5810162)",Jungle Cruise,"(28.41794735, -81.58349665864117)",0.15893046510267106
Main Street Cinema,"(28.4172281, -81.5810162)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",2174.3577268299236
Main Street Cinema,"(28.4172281, -81.5810162)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",2174.3287491192636
Main Street Cinema,"(28.4172281, -81.5810162)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",0.23582072327010994
Main Street Cinema,"(28.4172281, -81.5810162)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",2174.444593515769
Main Street Cinema,"(28.4172281, -81.5810162)",Disneyland Railroad,"(48.872951, 2.7809789)",4531.992519106888
Main Street Cinema,"(28.4172281, -81.5810162)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",2174.4147633516695
Main Street Cinema,"(28.4172281, -81.5810162)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",0.19226068716960681
Main Street Cinema,"(28.4172281, -81.5810162)",Splash Mountain,"(28.4192429, -81.58504252640626)",0.281672295257276
Main Street Cinema,"(28.4172281, -81.5810162)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",2174.317691363952
Main Street Cinema,"(28.4172281, -81.5810162)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",2174.3381315271727
Main Street Cinema,"(28.4172281, -81.5810162)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",2174.285362136291
Main Street Cinema,"(28.4172281, -81.5810162)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",2174.401221760622
Main Street Cinema,"(28.4172281, -81.5810162)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",2174.227134323669
Main Street Cinema,"(28.4172281, -81.5810162)",Donald's Boat,"(33.8151805, -117.91906404856115)",2174.2435286181267
Main Street Cinema,"(28.4172281, -81.5810162)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",2174.2677977926064
Main Street Cinema,"(28.4172281, -81.5810162)",Minnie's House,"(33.81558355, -117.91901094992576)",2174.2403915636087
Main Street Cinema,"(28.4172281, -81.5810162)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",2174.1803095023615
Main Street Cinema,"(28.4172281, -81.5810162)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",2174.2591388535348
Main Street Cinema,"(28.4172281, -81.5810162)",It's a Small World,"(33.8153316, -117.91738182498915)",2174.146721205645
Main Street Cinema,"(28.4172281, -81.5810162)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",2174.2241388397347
Main Street Cinema,"(28.4172281, -81.5810162)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",4531.723262567055
Main Street Cinema,"(28.4172281, -81.5810162)",Pixie Hollow,"(33.812503, -117.9182845)",2174.1992357558183
Main Street Cinema,"(28.4172281, -81.5810162)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",2174.2462192253247
Main Street Cinema,"(28.4172281, -81.5810162)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",2174.198583992875
Main Street Cinema,"(28.4172281, -81.5810162)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",4531.692336802652
Main Street Cinema,"(28.4172281, -81.5810162)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",2174.2537848422376
Main Street Cinema,"(28.4172281, -81.5810162)",Alice in Wonderland,"(33.8131608, -117.918366)",2174.2037871219613
Main Street Cinema,"(28.4172281, -81.5810162)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",2174.174186207327
Main Street Cinema,"(28.4172281, -81.5810162)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",2174.2378788896085
Main Street Cinema,"(28.4172281, -81.5810162)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",2174.198620709772
Main Street Cinema,"(28.4172281, -81.5810162)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",2174.247068725805
Main Street Cinema,"(28.4172281, -81.5810162)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",4531.867167998688
Main Street Cinema,"(28.4172281, -81.5810162)",Autopia,"(48.8732257, 2.7789328)",4531.89761941072
Main Street Cinema,"(28.4172281, -81.5810162)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",4531.882707727347
Main Street Cinema,"(28.4172281, -81.5810162)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",2174.164059752843
Main Street Cinema,"(28.4172281, -81.5810162)",Space Mountain,"(48.87407195, 2.779286235777686)",4531.89710868515
Main Street Cinema,"(28.4172281, -81.5810162)",Disneyland Monorail,"(33.812807, -117.9166715)",2174.1063753194494
Main Street Cinema,"(28.4172281, -81.5810162)",Disneyland Railroad,"(48.872951, 2.7809789)",4531.992519106888
Main Street Cinema,"(28.4172281, -81.5810162)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",2174.13541183272
